date,open,high,low,close,volume
2024-09-30 10:00:00,230.9250,231.3300,230.9250,231.1200,491539
2024-09-30 10:05:00,231.1009,231.1900,230.5400,230.8200,450981
2024-09-30 10:10:00,230.8399,230.8399,230.5400,230.6320,426102
2024-09-30 10:15:00,230.6400,230.7800,230.3100,230.5966,454356
2024-09-30 10:20:00,230.5900,230.7399,230.4100,230.5400,350689
2024-09-30 10:25:00,230.5400,231.0000,230.3800,230.9800,704121
2024-09-30 10:30:00,230.9700,231.2250,230.7400,231.2250,535397
2024-09-30 10:35:00,231.2050,231.5000,231.0400,231.1105,434151
2024-09-30 10:40:00,231.1200,231.3500,231.0100,231.0901,247115
2024-09-30 10:45:00,231.1200,231.5956,231.1001,231.4600,381912
2024-09-30 10:50:00,231.4600,231.6800,231.4209,231.5600,348014
2024-09-30 10:55:00,231.5550,231.7600,231.5300,231.6100,316421
2024-09-30 11:00:00,231.6000,231.7300,231.5115,231.7005,316834
2024-09-30 11:05:00,231.7050,231.9100,231.3800,231.4600,510858
2024-09-30 11:10:00,231.4650,231.8200,231.4400,231.7900,287648
2024-09-30 11:15:00,231.7950,231.8756,231.5600,231.5800,313292
2024-09-30 11:20:00,231.5700,231.7300,231.5200,231.7100,215469
2024-09-30 11:25:00,231.7150,232.1050,231.7100,231.9401,639405
2024-09-30 11:30:00,231.9500,232.2500,231.8413,231.9100,486052
2024-09-30 11:35:00,231.9200,232.1799,231.8400,231.9801,340150
2024-09-30 11:40:00,231.9900,232.0700,231.8300,232.0500,321389
2024-09-30 11:45:00,232.0500,232.2200,231.9400,232.1900,276985
2024-09-30 11:50:00,232.1750,232.4300,232.0800,232.2700,436339
2024-09-30 11:55:00,232.2850,232.3600,232.1300,232.2500,261373
2024-09-30 12:00:00,232.2500,232.4100,232.1400,232.3200,282513
2024-09-30 12:05:00,232.3200,232.5200,232.3138,232.4600,403839
2024-09-30 12:10:00,232.4550,232.5200,232.1800,232.3300,393412
2024-09-30 12:15:00,232.3500,232.4199,232.2600,232.3100,201192
2024-09-30 12:20:00,232.3050,232.5383,232.1100,232.1350,414609
2024-09-30 12:25:00,232.1399,232.2699,232.0800,232.1205,172350
2024-09-30 12:30:00,232.1200,232.1400,231.8200,231.9000,286180
2024-09-30 12:35:00,231.9000,232.1931,231.8900,232.0900,216349
2024-09-30 12:40:00,232.0850,232.1700,231.9920,232.1100,177024
2024-09-30 12:45:00,232.1000,232.1600,231.9500,232.1400,147088
2024-09-30 12:50:00,232.1300,232.2000,231.9600,232.0000,160334
2024-09-30 12:55:00,231.9950,232.0100,231.7400,231.7878,232996
2024-09-30 13:00:00,231.7800,232.0399,231.7800,231.7810,173888
2024-09-30 13:05:00,231.7800,231.8800,231.6500,231.6565,184973
2024-09-30 13:10:00,231.6500,231.8081,231.3900,231.4550,375690
2024-09-30 13:15:00,231.4550,231.7100,231.3100,231.6626,202366
2024-09-30 13:20:00,231.6650,231.9600,231.6250,231.8500,197783
2024-09-30 13:25:00,231.8599,231.9291,231.6400,231.6450,146568
2024-09-30 13:30:00,231.6500,231.8200,231.5600,231.5850,196307
2024-09-30 13:35:00,231.5899,231.6500,231.4400,231.4450,197192
2024-09-30 13:40:00,231.4600,231.5300,231.3203,231.5000,208912
2024-09-30 13:45:00,231.4900,231.6500,231.4300,231.6142,174695
2024-09-30 13:50:00,231.6200,231.7600,231.5501,231.7500,198152
2024-09-30 13:55:00,231.7550,232.0000,231.5900,231.8400,293990
2024-09-30 14:00:00,231.8250,231.8899,231.6400,231.7000,171461
2024-09-30 14:05:00,231.7000,231.7600,231.5413,231.7200,190452
2024-09-30 14:10:00,231.7100,231.7200,231.4432,231.5100,260389
2024-09-30 14:15:00,231.5000,231.5600,231.0800,231.0901,318027
2024-09-30 14:20:00,231.0891,231.2100,230.5500,230.8300,536476
2024-09-30 14:25:00,230.8400,231.1200,230.6400,231.0100,358928
2024-09-30 14:30:00,231.0000,231.4799,230.7764,231.3250,324278
2024-09-30 14:35:00,231.3250,231.7100,231.2600,231.6490,315050
2024-09-30 14:40:00,231.6600,231.8100,231.5000,231.8001,281173
2024-09-30 14:45:00,231.8100,231.9100,231.6750,231.7100,273792
2024-09-30 14:50:00,231.7100,231.8800,231.5700,231.8300,229172
2024-09-30 14:55:00,231.8150,231.8800,231.7100,231.7516,162743
2024-09-30 15:00:00,231.7350,231.7599,231.4500,231.6200,273974
2024-09-30 15:05:00,231.6200,231.8300,231.4900,231.6200,371279
2024-09-30 15:10:00,231.6150,231.6200,231.3200,231.4100,273049
2024-09-30 15:15:00,231.4150,231.4800,231.3300,231.3450,266393
2024-09-30 15:20:00,231.3414,231.4100,231.1700,231.2350,325618
2024-09-30 15:25:00,231.2300,231.3050,231.0400,231.2200,289430
2024-09-30 15:30:00,231.2100,231.3469,231.1600,231.2344,315784
2024-09-30 15:35:00,231.2400,231.3400,231.1100,231.2850,360255
2024-09-30 15:40:00,231.2850,231.4300,231.1800,231.3900,456990
2024-09-30 15:45:00,231.3900,231.6800,231.3201,231.4340,601302
2024-09-30 15:50:00,231.4300,233.0000,231.4300,232.1900,2321975
2024-09-30 15:55:00,232.2000,233.0000,232.1900,233.0000,4698036
2024-09-30 16:00:00,233.0000,233.0200,232.7000,232.9492,1483655
2024-09-30 16:05:00,232.9500,233.2500,232.9500,233.0800,379924
2024-09-30 16:10:00,233.0611,233.1715,233.0100,233.0400,36922
2024-09-30 16:15:00,233.0000,233.1200,233.0000,233.0000,20169
2024-09-30 16:20:00,233.0000,233.1300,233.0000,233.1000,10369
2024-09-30 16:25:00,233.1400,233.1600,232.9500,232.9500,18163
2024-09-30 16:30:00,233.0000,233.0000,232.9100,233.0000,20582
2024-09-30 16:35:00,232.9985,233.0000,232.9500,232.9900,10139
2024-09-30 16:40:00,232.9600,232.9700,232.9300,232.9301,6639
2024-09-30 16:45:00,232.9315,232.9900,232.9300,232.9900,9148
2024-09-30 16:50:00,232.9600,232.9792,232.8700,232.9000,27679
2024-09-30 16:55:00,232.8900,233.0000,232.8000,232.8800,462539
2024-09-30 17:00:00,232.8800,233.0000,232.8000,232.8630,97703
2024-09-30 17:05:00,232.8800,232.9400,232.8800,232.9400,8180
2024-09-30 17:10:00,232.9000,232.9500,232.8900,232.8900,2478
2024-09-30 17:15:00,232.8700,232.8900,232.8695,232.8900,2225
2024-09-30 17:20:00,232.9100,232.9800,232.9000,232.9600,4331
2024-09-30 17:25:00,232.9300,232.9700,232.9300,232.9500,3622
2024-09-30 17:30:00,232.9700,232.9700,232.8800,232.8800,1278
2024-09-30 17:35:00,232.8600,232.8800,232.8000,232.8800,2742
2024-09-30 17:50:00,232.9300,232.9300,232.9000,232.9000,3303
2024-09-30 17:55:00,232.8799,232.8800,232.8500,232.8800,3078
2024-09-30 18:00:00,232.9000,232.9600,232.8706,232.9600,6327
2024-09-30 18:05:00,232.9600,232.9800,232.7755,232.7755,13134
2024-09-30 18:10:00,232.8400,232.8400,232.8200,232.8200,344
2024-09-30 18:15:00,232.7800,232.8798,232.7800,232.8400,1671
2024-09-30 18:20:00,232.7985,232.8000,232.7900,232.8000,1998
2024-09-30 18:25:00,232.8300,232.9400,232.8300,232.9400,2488
2024-09-30 18:30:00,232.8900,232.9300,232.8900,232.9000,1634
2024-09-30 18:35:00,232.8800,232.8800,232.8400,232.8400,1171
2024-09-30 18:40:00,232.8900,232.9300,232.8510,232.8510,1671
2024-09-30 18:50:00,232.8300,232.8400,232.8300,232.8400,632
2024-09-30 18:55:00,232.8300,232.8300,232.7820,232.7820,8812
2024-09-30 19:00:00,232.7820,232.8200,232.7820,232.8000,982
2024-09-30 19:05:00,232.8000,232.8180,232.8000,232.8180,2290
2024-09-30 19:10:00,232.8000,232.8000,232.7800,232.7800,2566
2024-09-30 19:15:00,232.7800,232.8199,232.7800,232.8199,3202
2024-09-30 19:20:00,232.8175,232.8200,232.7701,232.8045,2091
2024-09-30 19:25:00,232.8010,232.8100,232.8000,232.8000,1235
2024-09-30 19:30:00,232.8000,232.8000,232.7800,232.7839,3914
2024-09-30 19:35:00,232.8100,232.8100,232.7900,232.7900,930
2024-09-30 19:40:00,232.8100,232.9500,232.8100,232.9500,6754
2024-09-30 19:45:00,232.9800,232.9800,232.9400,232.9599,1922
2024-09-30 19:50:00,232.9400,233.0000,232.9400,233.0000,7471
2024-09-30 19:55:00,233.0860,233.1950,233.0860,233.1500,7110
2024-10-01 04:00:00,233.3300,233.3700,233.2600,233.2600,3874
