Date,Open,High,Low,Close,Volume
2023-06-15 10:00:00,5.4800,5.6400,5.4300,5.4300,43386.0000
2023-06-15 14:00:00,5.5500,5.6399,5.4900,5.4900,31295.0000
2023-06-16 10:00:00,5.5450,5.5450,5.5450,5.5450,177.0000
2023-06-20 10:00:00,5.3150,5.3150,5.3000,5.3000,685.0000
2023-06-20 14:00:00,5.3300,5.4299,5.3300,5.4299,588.0000
2023-06-21 06:00:00,5.2700,5.2700,5.2700,5.2700,980.0000
2023-06-21 10:00:00,5.2150,5.2150,5.2150,5.2150,100.0000
2023-06-21 14:00:00,5.2300,5.2500,5.2300,5.2500,3785.0000
2023-06-22 10:00:00,5.6800,5.6800,5.6600,5.6600,12322.0000
2023-06-22 14:00:00,5.6600,5.7000,5.6600,5.6700,4047.0000
2023-06-23 06:00:00,5.6740,5.6740,5.6740,5.6740,500.0000
2023-06-23 10:00:00,5.6101,5.6150,5.6101,5.6150,745.0000
2023-06-23 14:00:00,5.5400,5.6201,5.5400,5.6200,1017.0000
2023-06-26 06:00:00,5.7000,5.7250,5.7000,5.7000,606.0000
2023-06-26 10:00:00,5.8700,5.8700,5.8699,5.8699,521.0000
2023-06-26 14:00:00,5.7900,5.8999,5.7900,5.8999,1671.0000
2023-06-27 14:00:00,5.8400,5.8400,5.7800,5.8400,655.0000
2023-06-28 06:00:00,5.8500,5.8500,5.8500,5.8500,3016.0000
2023-06-28 10:00:00,5.8101,5.9000,5.7700,5.9000,28387.0000
2023-06-28 14:00:00,5.8450,5.9000,5.7800,5.7800,3757.0000
2023-06-29 10:00:00,5.8700,5.8700,5.7300,5.7300,2058.0000
2023-06-29 14:00:00,5.8400,5.8400,5.8400,5.8400,228.0000
2023-06-30 06:00:00,5.9000,6.0000,5.9000,5.9800,10405.0000
2023-06-30 10:00:00,5.9650,6.0200,5.9650,5.9700,3210.0000
2023-06-30 14:00:00,5.9800,5.9800,5.9600,5.9600,1710.0000
2023-07-03 10:00:00,6.0225,6.1000,5.9450,6.1000,2155.0000
2023-07-05 06:00:00,5.8840,5.8840,5.8840,5.8840,274.0000
2023-07-05 10:00:00,5.7875,5.8765,5.7510,5.8450,24365.0000
2023-07-05 14:00:00,5.8450,5.8450,5.8450,5.8450,2504.0000
2023-07-06 06:00:00,5.6000,5.6200,5.6000,5.6200,512.0000
2023-07-06 10:00:00,5.6075,5.6075,5.5400,5.5400,1379.0000
2023-07-06 14:00:00,5.6300,5.6899,5.6300,5.6899,1154.0000
2023-07-07 10:00:00,5.7200,5.7200,5.7200,5.7200,3000.0000
2023-07-07 14:00:00,5.6600,5.6601,5.6600,5.6601,898.0000
2023-07-10 10:00:00,5.9000,5.9800,5.6600,5.6600,1820.0000
2023-07-10 14:00:00,5.7500,5.9700,5.6800,5.8000,6897.0000
2023-07-11 14:00:00,5.9600,6.0600,5.9600,6.0600,543.0000
2023-07-12 10:00:00,6.2100,6.3000,6.2100,6.3000,668.0000
2023-07-12 14:00:00,6.2045,6.2200,6.2045,6.2200,492.0000
2023-07-13 06:00:00,6.3000,6.3320,6.3000,6.3320,1100.0000
2023-07-13 10:00:00,6.3060,6.4300,6.3025,6.4300,421.0000
2023-07-13 14:00:00,6.3500,6.4200,6.3000,6.3000,5746.0000
2023-07-14 10:00:00,6.3400,6.4000,6.3400,6.4000,16530.0000
2023-07-14 14:00:00,6.4000,6.4000,6.3300,6.3300,2130.0000
2023-07-17 06:00:00,6.2500,6.2500,6.2400,6.2400,1150.0000
2023-07-17 10:00:00,6.3000,6.3000,6.2700,6.2700,730.0000
2023-07-17 14:00:00,6.2640,6.3200,6.2640,6.2940,3779.0000
2023-07-18 10:00:00,6.4400,6.4999,6.4400,6.4899,4200.0000
2023-07-18 14:00:00,6.4865,6.4900,6.4000,6.4800,195617.0000
2023-07-19 10:00:00,6.5850,6.6750,6.5500,6.5850,23761.0000
2023-07-19 14:00:00,6.6300,6.6300,6.6300,6.6300,105.0000
2023-07-20 10:00:00,6.4980,6.6800,6.3900,6.4100,1129505.0000
2023-07-20 14:00:00,6.4120,6.4300,6.3500,6.3500,242141.0000
2023-07-21 06:00:00,6.3500,6.3500,6.2800,6.2800,5858.0000
2023-07-21 10:00:00,6.2600,6.3000,6.2580,6.2999,11028.0000
2023-07-21 14:00:00,6.2825,6.3000,6.2716,6.2900,11009.0000
2023-07-24 06:00:00,6.3283,6.3283,6.2000,6.2000,590.0000
2023-07-24 10:00:00,6.2350,6.3599,6.1600,6.1600,25098.0000
2023-07-24 14:00:00,6.2700,6.2800,6.2500,6.2600,3652.0000
2023-07-25 10:00:00,6.2000,6.3080,6.1700,6.1700,20580.0000
2023-07-25 14:00:00,6.2850,6.4000,6.2800,6.3000,2121.0000
2023-07-26 06:00:00,6.4000,6.4200,6.3800,6.3800,35063.0000
2023-07-26 10:00:00,6.4900,6.5500,6.4600,6.5500,34537.0000
2023-07-26 14:00:00,6.5521,6.5900,6.5400,6.5900,3227.0000
2023-07-27 06:00:00,6.7400,6.7400,6.7400,6.7400,250.0000
2023-07-27 10:00:00,6.6542,6.7399,6.6425,6.6425,2006.0000
2023-07-27 14:00:00,6.6700,6.6700,6.6490,6.6700,2433.0000
2023-07-28 06:00:00,6.6106,6.6106,6.6106,6.6106,638.0000
2023-07-28 10:00:00,6.7900,6.8800,6.7312,6.8100,18382.0000
2023-07-28 14:00:00,6.7125,6.7970,6.6800,6.7350,33406.0000
2023-07-31 10:00:00,6.7001,6.8000,6.7001,6.7300,6986.0000
2023-07-31 14:00:00,6.7000,6.7300,6.6901,6.7100,1382.0000
2023-08-01 10:00:00,6.5500,6.6220,6.5500,6.6050,1904.0000
2023-08-01 14:00:00,6.5700,6.6500,6.5301,6.5901,5623.0000
2023-08-02 10:00:00,6.5100,6.6000,6.5100,6.5318,1648.0000
2023-08-02 14:00:00,6.5650,6.6000,6.5201,6.5201,7228.0000
2023-08-03 06:00:00,6.5800,6.6150,6.5800,6.6150,538.0000
2023-08-03 10:00:00,6.6170,6.6800,6.6170,6.6500,212639.0000
2023-08-03 14:00:00,6.6501,6.6650,6.6500,6.6500,1554.0000
2023-08-04 06:00:00,6.9000,6.9250,6.9000,6.9250,245300.0000
2023-08-04 10:00:00,6.9600,6.9680,6.9200,6.9200,13999.0000
2023-08-04 14:00:00,6.8940,6.8940,6.8400,6.8400,789.0000
2023-08-07 10:00:00,6.8900,6.9200,6.8500,6.9200,24368.0000
2023-08-07 14:00:00,6.9000,6.9300,6.8701,6.8701,454.0000
2023-08-08 06:00:00,6.8300,6.8300,6.8300,6.8300,255.0000
2023-08-08 10:00:00,6.8200,6.8700,6.8200,6.8515,51643.0000
2023-08-08 14:00:00,6.8500,6.8900,6.8500,6.8750,8553.0000
2023-08-09 10:00:00,6.9499,6.9499,6.8520,6.9300,16487.0000
2023-08-09 14:00:00,6.8607,6.9300,6.8600,6.8950,21128.0000
2023-08-10 10:00:00,7.2350,7.2350,7.0500,7.0500,17421.0000
2023-08-10 14:00:00,7.0480,7.1099,7.0200,7.0200,3441.0000
2023-08-11 10:00:00,7.0350,7.1100,7.0350,7.0650,3623.0000
2023-08-11 14:00:00,7.0300,7.1000,7.0300,7.0999,33380.0000
2023-08-14 10:00:00,7.0100,7.0295,6.9801,7.0295,73383.0000
2023-08-14 14:00:00,7.0175,7.0300,6.9800,7.0200,56175.0000
2023-08-15 06:00:00,6.9701,6.9701,6.9701,6.9701,143.0000
2023-08-15 10:00:00,6.9600,7.0500,6.9300,6.9700,30484.0000
2023-08-15 14:00:00,7.0090,7.0300,6.9380,6.9900,5489.0000
2023-08-16 10:00:00,7.0099,7.0300,6.9550,7.0200,14165.0000
2023-08-16 14:00:00,6.9450,7.0000,6.8801,6.8801,7601.0000
2023-08-17 10:00:00,6.9060,6.9899,6.8560,6.9200,27776.0000
2023-08-17 14:00:00,6.8900,6.8900,6.8600,6.8900,18423.0000
2023-08-18 10:00:00,6.6950,6.8099,6.6600,6.7350,12726.0000
2023-08-18 14:00:00,6.7900,6.7900,6.6801,6.7350,4752.0000
2023-08-21 10:00:00,6.7610,6.7610,6.7164,6.7164,2794.0000
2023-08-21 14:00:00,6.7900,6.7900,6.6801,6.7900,14100.0000
2023-08-22 06:00:00,6.7000,6.7000,6.7000,6.7000,121.0000
2023-08-22 10:00:00,6.7000,6.7900,6.6401,6.7900,46767.0000
2023-08-22 14:00:00,6.7900,6.7900,6.7000,6.7900,6770.0000
2023-08-23 10:00:00,6.4800,6.5800,6.4301,6.5300,18279.0000
2023-08-23 14:00:00,6.4801,6.5600,6.4801,6.5000,1906.0000
2023-08-24 10:00:00,6.4850,6.5900,6.4438,6.5575,8655.0000
